"","X","Year","Births1","Rate2"
"1",97,2009,4131019,13.8
"2",96,2005,4138349,14
"3",95,2004,4112052,14
"4",94,2003,4089950,14.1
"5",93,2002,4021726,13.9
"6",92,2001,4025933,14.1
"7",91,2000,4058814,14.7
"8",90,1999,3959417,14.5
"9",89,1998,3941553,14.6
"10",88,1997,3882000,14.5
"11",87,1996,3899000,14.7
"12",86,1995,3892000,14.8
"13",85,1994,3979000,15.3
"14",84,1993,4039000,15.7
"15",83,1992,4084000,16
"16",82,1991,4111000,16.2
"17",81,1990,4179000,16.7
"18",80,1989,4021000,16.2
"19",79,1988,3913000,15.9
"20",78,1987,3829000,15.7
"21",77,1986,3731000,15.5
"22",76,1985,3760561,15.8
"23",75,1984,3669141,15.5
"24",74,1983,3638933,15.5
"25",73,1982,3680537,15.9
"26",72,1981,NA,NA
"27",71,1980,3612258,15.9
"28",70,1979,3494398,15.9
"29",69,1978,3333279,15.3
"30",68,1977,3326632,15.4
"31",67,1976,3167788,14.8
"32",66,1975,3144198,14.8
"33",65,1974,3159958,14.9
"34",64,1973,3136965,14.9
"35",63,1972,3258411,15.6
"36",62,1971,3555970,17.2
"37",61,1970,3731386,18.4
"38",60,1969,3600206,17.8
"39",59,1968,3501564,17.5
"40",58,1967,3520959,17.8
"41",57,1966,3606274,18.4
"42",56,1965,3760358,19.4
"43",55,1964,4027490,21
"44",54,1963,4098020,21.7
"45",53,1962,4167362,22.4
"46",52,1961,4268326,23.3
"47",51,1960,4257850,23.7
"48",50,1959,4295000,24.3
"49",49,1958,4255000,24.5
"50",48,1957,4308000,25.3
"51",47,1956,4218000,25.2
"52",46,1955,4104000,25
"53",45,1954,4078000,25.3
"54",44,1953,3965000,25.1
"55",43,1952,3913000,25.1
"56",42,1951,NA,NA
"57",41,1950,3632000,24.1
"58",40,1949,NA,NA
"59",39,1948,NA,NA
"60",38,1947,NA,NA
"61",37,1946,NA,NA
"62",36,1945,2858000,20.4
"63",35,1944,NA,NA
"64",34,1943,NA,NA
"65",33,1942,NA,NA
"66",32,1941,NA,NA
"67",31,1940,2559000,19.4
"68",30,1939,NA,NA
"69",29,1938,NA,NA
"70",28,1937,NA,NA
"71",27,1936,NA,NA
"72",26,1935,2377000,18.7
"73",25,1934,NA,NA
"74",24,1933,NA,NA
"75",23,1932,NA,NA
"76",22,1931,NA,NA
"77",21,1930,2618000,21.3
"78",20,1929,NA,NA
"79",19,1928,NA,NA
"80",18,1927,NA,NA
"81",17,1926,NA,NA
"82",16,1925,2909000,25.1
"83",15,1924,NA,NA
"84",14,1923,NA,NA
"85",13,1922,NA,NA
"86",12,1921,NA,NA
"87",11,1920,2950000,27.7
"88",10,1919,NA,NA
"89",9,1918,NA,NA
"90",8,1917,NA,NA
"91",7,1916,NA,NA
"92",6,1915,2965000,29.5
"93",5,1914,NA,NA
"94",4,1913,NA,NA
"95",3,1912,NA,NA
"96",2,1911,NA,NA
"97",1,1910,2777000,30.1
