AY,Total_Crashes_Involving_Trucks,CPI,Current expenditures,Change in personal wealth,Exports of foods feeds and beverages,Industrial supplies and materials,Durable goods,Exports of automotive vehicles engines and parts,Exports of consumer goods except food and automotive,Transport,Imports of goods and services,Imports of Industrial supplies and materials,Imports of Durable goods,Imports of Nondurable goods,Imports of Petroleum and products,Imports of Nondurable goods; excluding petroleum and products,Imports of Automotive vehicles engines and parts,GDP in billions of current dollars,US Oil Price,Personal consumption expenditures (PCE),Goods,Durable goods,Nondurable goods,Services
1987,5471,0.036645632,135838,115808,25229,67426,21026,27583,20307,24029,508714,109027,33995,75032,42944,32088,85174,4870.2,17.75,3190913,1289378,459420,829959,1901535
1988,5566,0.040777411,142084,82390,33770,84208,28776,33397,26982,28287,553993,116278,39643,76634,39632,37002,87948,5252.6,14.87,3476349,1385908,498851,887056,2090441
1989,5360,0.04827003,164218,158178,36289,95386,33351,35141,35873,31185,591032,129676,40153,89524,50912,38611,87400,5657.7,18.33,3700650,1454074,491631,962443,2246576
1990,5174,0.053979564,177695,56442,35110,101941,35767,36195,43503,37340,629729,140488,38477,102011,62296,39715,88200,5979.6,23.19,3877840,1490465,473982,1016483,2387375
1991,4728,0.04234964,191090,191886,35728,106217,37160,39899,46577,38489,623547,127395,35625,91771,51740,40031,85459,6174,20.2,4037713,1501920,480896,1021024,2535792
1992,4422,0.030288197,204301,116565,40263,105168,36881,46883,51235,38148,667793,133984,39171,94814,51579,43234,91462,6539.3,19.25,4355570,1611430,532408,1079021,2744140
1993,4778,0.02951657,215444,170749,40537,102920,37658,51555,54460,38485,719974,140188,43064,97125,51482,45643,102055,6878.7,16.75,4590667,1686816,578349,1108467,2903851
1994,5069,0.026074416,227742,103343,42355,115398,41374,57532,59711,40753,813425,156229,53455,102774,51276,51499,118129,7308.8,15.66,4862329,1799548,630706,1168841,3062781
1995,4834,0.028054197,248387,345705,50811,140991,49945,61395,64152,44990,902571,175605,59679,115926,56029,59897,123724,7664.1,16.75,5120127,1869952,668047,1201905,3250175
1996,5048,0.029312042,274743,281450,55954,141322,51112,64360,69323,46495,963966,197330,63005,134325,72746,61579,128742,8100.2,20.46,5401696,1963047,687847,1275200,3438650
1997,5295,0.023376899,299654,420722,51954,153005,55301,73436,77031,47872,1055776,206485,69067,137418,71771,65648,139429,8608.5,18.64,5716423,2053281,746068,1307213,3663142
1998,5316,0.015522791,317632,431414,46833,143251,53914,72511,79369,45703,1115690,193124,75969,117155,50904,66251,148636,9089.2,11.91,6098156,2204916,838247,1366669,3893241
1999,5299,0.021880272,348113,424787,45976,145723,54259,75257,80868,43217,1248611,221908,80064,141844,72118,69727,178241,9660.6,16.56,6568233,2407477,889811,1517666,4160755
2000,5173,0.033768573,370079,81320,47872,171108,63618,80356,89305,45759,1472630,301289,90146,211143,126141,85002,194954,10284.8,27.39,6979051,2500836,913508,1587328,4478215
2001,5012,0.028261711,375699,-224028,49407,159469,57079,75435,88284,41715,1395396,276785,81983,194802,109424,85379,188745,10621.8,23,7189995,2528409,955613,1572796,4661586
2002,4846,0.015860316,379486,-159576,49615,157282,53499,78943,84323,41911,1428973,270660,83196,187464,109288,78176,202777,10977.5,22.81,7552615,2654736,1006084,1648652,4897879
2003,4905,0.02270095,375851,606942,55026,173273,57305,80633,89878,41445,1543934,317754,86083,231671,140407,91264,209172,11510.7,27.69,7974324,2796861,1047387,1749474,5177463
2004,5099,0.026772367,407695,365000,56570,206276,70065,89212,103195,47723,1800677,418088,121451,296637,189921,106716,227332,12274.9,37.66,8516494,2998129,1118760,1879369,5518365
2005,5049,0.033927468,448530,443046,58955,236813,82190,98407,115228,52622,2030086,531130,137097,394034,263175,130859,238715,13093.7,50.04,9026766,3137611,1129587,2008024,5889155
2006,4886,0.032259441,509034,458193,65963,279121,101334,107263,129034,57462,2247263,610204,164352,445852,316667,129186,255962,13855.9,58.3,9516459,3298832,1174532,2124300,6217627
2007,4613,0.028526725,566607,379566,84264,316284,113930,121264,145864,65825,2383167,644595,159943,484652,346689,137963,258498,14477.6,64.2,9947582,3431069,1178103,2252966,6516512
2008,4017,0.038391003,602433,-945971,108349,386918,128645,121452,161158,74973,2565009,794857,161489,633368,476129,157240,233204,14718.6,91.48,9744237,3088351,998357,2089995,6655885
2009,3147,-0.003555463,575105,765259,93909,293541,95970,81714,149287,62190,1983178,464350,95502,368848,267710,101138,159188,14418.7,53.48,10000613,3285927,1039482,2246445,6714686
2010,3418,0.016400434,587822,613662,107718,388562,125138,112008,164909,71655,2364992,603092,125189,477903,353647,124256,225641,14964.4,71.21,10436084,3479750,1101153,2378596,6956334
2011,3384,0.031568416,604856,90651,126248,485259,143428,133036,174718,79830,2686366,754863,149594,605269,462149,143120,255226,15517.9,87.04,10827293,3640342,1151992,2488350,7186951
2012,3529,0.020693373,638731,696478,133049,483232,140291,146158,180994,83944,2763844,723164,150394,572769,434342,138427,298498,16155.3,86.46,11186525,3787954,1233084,2554870,7398571
2013,3616,0.014648327,684521,1061518,136163,492422,136907,152661,188093,86776,2768613,679049,151003,528046,387760,140286,309573,16691.5,91.17,11566012,3881513,1243214,2638299,7684499
2014,3663,0.01622223,736309,495061,143721,500677,140704,159812,198398,90729,2883157,669865,169217,500648,353617,147032,329498,17427.6,85.6,12095614,3994435,1327134,2667301,8101180
2015,3876,0.001186271,777409,335208,127735,417445,126469,151921,197407,87609,2788958,487691,159415,328276,197228,131048,350034,18120.7,41.85,12531413,4068137,1390097,2678040,8463276
2016,3986,0.012615832,813271,718608,130555,386767,119331,150313,193440,84318,2735805,436812,152490,284322,159622,124700,351050,18624.5,36.34,13117655,4218981,1451590,2767391,8898674
